User ID,Product Name,Rating
76767,AgeofEmpiresIIHDEdition,8
76767,AlienSwarm,3
76767,Arma2,1
76767,Arma2OperationArrowhead,1
76767,Arma2OperationArrowheadBeta(Obsolete),1
76767,Banished,9
76767,CallofDutyBlackOps,8
76767,CallofDutyBlackOpsMultiplayer,8
76767,CallofDutyModernWarfare2,9
76767,CallofDutyModernWarfare2Multiplayer,10
76767,CallofDutyModernWarfare3,8
76767,CallofDutyModernWarfare3Multiplayer,7
76767,CallofDutyWorldatWar,10
76767,CounterStrike,10
76767,CounterStrikeGlobalOffensive,6
76767,CounterStrikeSource,9
76767,DayofDefeat,1
76767,DeathmatchClassic,1
76767,HalfLife,4
76767,HalfLifeBlueShift,1
76767,HalfLifeOpposingForce,1
76767,Portal2,8
76767,Ricochet,1
76767,RiseofNationsExtendedEdition,6
76767,TeamFortressClassic,1
76767,TheStanleyParable,5
76767,Thief,1
76767,ThiefGhost,1
76767,ThiefOpportunist,1
76767,ThiefPredator,1
76767,ThiefTheBankHeist,1
76767,Thief2,1
76767,ThiefDeadlyShadows,6
76767,ThiefGold,1
76767,TotalWarATTILA,10
76767,WormsArmageddon,2
86540,AgeofEmpiresIIHDEdition,3
86540,AgeofEmpiresIIHDTheForgotten,1
86540,AlanWake,2
86540,AlanWakesAmericanNightmare,1
86540,Arma2,1
86540,Arma2OperationArrowhead,1
86540,Arma2OperationArrowheadBeta(Obsolete),1
86540,Audiosurf,9
86540,BacktotheFutureEp1ItsAboutTime,1
86540,BacktotheFutureEp2GetTannen!,1
86540,BacktotheFutureEp3CitizenBrown,1
86540,BacktotheFutureEp4DoubleVisions,1
86540,BacktotheFutureEp5OUTATIME,1
86540,Borderlands2,3
86540,CounterStrike,1
86540,DayofDefeat,1
86540,DeathmatchClassic,1
86540,DeusExGameoftheYearEdition,1
86540,DeusExHumanRevolution,1
86540,DeusExHumanRevolutionTheMissingLink,1
86540,DeusExInvisibleWar,1
86540,DiRT3,1
86540,DiRT3CompleteEdition,1
86540,DiRTShowdown,1
86540,FTLFasterThanLight,1
86540,FarCry3,8
86540,HalfLife,1
86540,HalfLife2,1
86540,HalfLife2EpisodeOne,1
86540,HalfLifeBlueShift,1
86540,HalfLifeOpposingForce,1
86540,HectorEp1,1
86540,HectorEp2,1
86540,HectorEp3,1
86540,KillerisDead,6
86540,LANoire,1
86540,Left4Dead2,8
86540,MaxPayne3,3
86540,OperationFlashpointDragonRising,1
86540,OperationFlashpointRedRiver,1
86540,Overlord,1
86540,OverlordII,1
86540,OverlordRaisingHell,1
86540,PokerNightattheInventory,1
86540,Portal,2
86540,Portal2,1
86540,PuzzleAgent,1
86540,PuzzleAgent2,1
86540,Ricochet,1
86540,RiseoftheArgonauts,1
86540,Sam&Max301ThePenalZone,1
86540,Sam&Max302TheTombofSammunMak,1
86540,Sam&Max303TheyStoleMaxsBrain!,1
86540,Sam&Max304BeyondtheAlleyoftheDolls,1
86540,Sam&Max305TheCitythatDaresnotSleep,1
86540,SeriousSam2,1
86540,SeriousSam3BFE,1
86540,SeriousSamClassicTheFirstEncounter,1
86540,SeriousSamClassicTheSecondEncounter,1
86540,SeriousSamClassicsRevolution,1
86540,SeriousSamDoubleDXXL,1
86540,SeriousSamHDTheFirstEncounter,2
86540,SeriousSamTheRandomEncounter,1
86540,SkyrimHighResolutionTexturePack,1
86540,TeamFortressClassic,1
86540,TheElderScrollsVSkyrim,10
86540,TheElderScrollsVSkyrimDawnguard,1
86540,TheElderScrollsVSkyrimDragonborn,1
86540,TheElderScrollsVSkyrimHearthfire,1
86540,TheWalkingDead,5
86540,TomClancysGhostReconAdvancedWarfighter,2
86540,TomClancysGhostReconAdvancedWarfighter2,1
86540,TomClancysGhostReconFutureSoldier,1
86540,TomClancysSplinterCellConviction,1
86540,TorchlightII,6
86540,Tropico4,1
86540,UniverseSandbox,1
86540,Wallace&GromitEp1FrightoftheBumblebees,1
86540,Wallace&GromitEp2TheLastResort,1
86540,Wallace&GromitEp3Muzzled!,1
86540,Wallace&GromitEp4TheBogeyMan,1
86540,XCOMEnemyUnknown,9
103360,CounterStrike,1
103360,CounterStrikeConditionZero,1
103360,CounterStrikeConditionZeroDeletedScenes,1
103360,DayofDefeat,1
103360,DeathmatchClassic,1
103360,HalfLife,1
103360,HalfLifeBlueShift,1
103360,HalfLifeOpposingForce,1
103360,Ricochet,1
103360,TeamFortressClassic,1
144736,CounterStrike,2
144736,DayofDefeat,1
144736,DeathmatchClassic,1
144736,HalfLife,1
144736,HalfLifeBlueShift,1
144736,HalfLifeOpposingForce,1
144736,Ricochet,1
144736,TeamFortressClassic,1
181212,CounterStrike,5
181212,CounterStrikeSource,1
181212,DayofDefeat,1
181212,DeathmatchClassic,1
181212,HalfLife,1
181212,HalfLife2,1
181212,HalfLife2Deathmatch,1
181212,HalfLife2LostCoast,2
181212,HalfLifeBlueShift,1
181212,HalfLifeOpposingForce,1
181212,Ricochet,1
